training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
10,9,0.9400,0,0,0
11,0,0.8274,0,0,0
11,1,0.8928,0,0,0
11,2,0.9088,0,0,0
11,3,0.9186,0,0,0
11,4,0.9232,0,0,0
11,5,0.9316,0,0,0
11,6,0.9316,0,0,0
11,7,0.9384,0,0,0
11,8,0.9408,0,0,0
11,9,0.9470,0,0,0
12,0,0.8238,0,0,0
12,1,0.8822,0,0,0
12,2,0.8952,0,0,0
12,3,0.9050,0,0,0
12,4,0.9090,0,0,0
12,5,0.9132,0,0,0
12,6,0.9200,0,0,0
12,7,0.9204,0,0,0
12,8,0.9244,0,0,0
12,9,0.9314,0,0,0
13,0,0.8674,0,0,0
13,1,0.9272,0,0,0
13,2,0.9412,0,0,0
13,3,0.9434,0,0,0
13,4,0.9494,0,0,0
13,5,0.9528,0,0,0
13,6,0.9560,0,0,0
13,7,0.9598,0,0,0
13,8,0.9596,0,0,0
13,9,0.9600,0,0,0
14,0,0.7532,0,0,0
14,1,0.8366,0,0,0
14,2,0.8574,0,0,0
14,3,0.8724,0,0,0
14,4,0.8776,0,0,0
14,5,0.8858,0,0,0
14,6,0.8872,0,0,0
14,7,0.8886,0,0,0
14,8,0.8962,0,0,0
14,9,0.9050,0,0,0
15,0,0.8246,0,0,0
15,1,0.8914,0,0,0
15,2,0.9056,0,0,0
15,3,0.9158,0,0,0
15,4,0.9192,0,0,0
15,5,0.9284,0,0,0
15,6,0.9318,0,0,0
15,7,0.9398,0,0,0
15,8,0.9436,0,0,0
15,9,0.9430,0,0,0
16,0,0.8438,0,0,0
16,1,0.9138,0,0,0
16,2,0.9206,0,0,0
16,3,0.9208,0,0,0
16,4,0.9218,0,0,0
16,5,0.9276,0,0,0
16,6,0.9332,0,0,0
16,7,0.9346,0,0,0
16,8,0.9442,0,0,0
16,9,0.9410,0,0,0
17,0,0.8120,0,0,0
17,1,0.8854,0,0,0
17,2,0.9064,0,0,0
17,3,0.9162,0,0,0
17,4,0.9208,0,0,0
17,5,0.9248,0,0,0
17,6,0.9306,0,0,0
17,7,0.9340,0,0,0
17,8,0.9402,0,0,0
17,9,0.9434,0,0,0
18,0,0.8088,0,0,0
18,1,0.8746,0,0,0
18,2,0.8878,0,0,0
18,3,0.8982,0,0,0
18,4,0.9056,0,0,0
18,5,0.9134,0,0,0
18,6,0.9158,0,0,0
18,7,0.9180,0,0,0
18,8,0.9214,0,0,0
18,9,0.9288,0,0,0
19,0,0.8398,0,0,0
19,1,0.9296,0,0,0
19,2,0.9304,0,0,0
19,3,0.9396,0,0,0
19,4,0.9430,0,0,0
19,5,0.9474,0,0,0
19,6,0.9502,0,0,0
19,7,0.9552,0,0,0
19,8,0.9570,0,0,0
19,9,0.9580,0,0,0
